ENDLINE2_RESIDENT,ENDLINE2_LEADER,assigned_nov,houseoccupy_ec2,houseclaim_ec2,farmclaim_ec2,housepalavapostwar_ec2,farmpalavapostwar_ec2,anylndconf_u_ec2,unrslv_lnd_conf_u_ec2,conf_threat_c_ec2,conf_threat_u_ec2,conf_damage_c_ec2,conf_damage_u_ec2,conf_viol_c_ec2,conf_viol_u_ec2,conf_witch_c_ec2,conf_any_c_ec2,conf_any_u_ec2,forum_lastsuc_c_ec2,cviol_scale_bc,clandconf_scale_bc,cpalaviol_imputed_bc,clndtake_bc,cattitudes_tribe_bc,cprog_ldr_beliefs_bc,cwitchcraft_scale_bc,cwealthindex_bc,cedulevel_bc,crelmarry_bc,cviol_experienced_bc,weight_ec2,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,s_weight1,s_weight2,s_weight3,s_weight4,assigned_ever,quartdummy,christian,minority,housetake_dum,lndtake_dum,female,stranger,yrs_edu,noland,ageover60,age40_60,age20_40,land_sizehst,farm_sizehst,cashearn_imputedhst,trainee,ctownhh_log_el2,vsmall,small,small2,small3,lmg_conf_u_ec2,lmg_unrslv_conf_u_ec2,lmg_conf_any_u_ec2,lmg_forum_lastsuc_c_ec2,lmg_forum_inf_suc_c_ec2,lmg_conf_any_c_ec2,conf_length_max_c_ec2,resident_e1,conf_dam_violence_bin_u,conf_dam_violence_bin_c,lmg_conf_dam_violence_bin_c,lmg_conf_threat_c_ec2,lmg_conf_viol_c_ec2,lmg_conf_damage_c_ec2,ctownhh_log_el,weight_e1_e2,unconditional_label_land,conditional_label_land,unconditional_label_all,conditional_label_all
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,1,1,0,0,0,0,1,0,1.647231,7.600903,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
,,0,,,,,,1,0,1,1,0,0,1,1,,1,1,1,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,1,1,7,0,0,0,1,3.402307,.8813736,8.853665,0,4.143135,0,1,0,0,1,0,,1,0,,,1,1,1,,,,,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,0,1,9,0,0,0,0,.2474665,1.818447,5.991471,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
1,,0,0,0,0,0,1,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,0,0,5,0,1,0,0,.2474665,5.703794,6.907756,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,0,1,,,0,0,13,0,0,0,1,.4812118,.8813736,8.699514,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,0,0,7,0,0,1,0,1.818447,1.194763,0,0,4.143135,0,1,0,0,0,0,,,,,,1,0,,,,,,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,1,0,0,0,0,1,0,4.248699,1.443635,5.703794,0,4.143135,0,1,0,0,0,0,,,,,,1,0,,,,,,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,1,0,0,0,0,1,0,1.443635,1.443635,5.991471,0,4.143135,0,1,0,0,0,0,,,,,,1,0,,,,,,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,1,1,7,0,0,0,1,.4812118,3.689504,8.517193,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,0,0,14,0,0,1,0,.1494431,2.998223,8.699514,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,1,1,0,0,0,0,1,.2474665,1.818447,7.244228,,4.143135,0,1,0,0,1,0,1,1,0,1,,0,0,,1,0,1,0,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,1,0,10,0,0,0,1,2.644121,.8813736,6.551083,0,4.143135,0,1,0,0,0,0,,,,,,1,0,,,,,,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,1,1,0,0,0,1,0,.4812118,2.49178,6.907756,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,1,1,0,0,0,0,1,3.912423,1.443635,5.298342,0,4.143135,0,1,0,0,0,0,,,,,,1,0,,,,,,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,0,0,9,0,0,0,1,.8813736,1.443635,7.600903,0,4.143135,0,1,0,0,0,0,,,,,,1,0,,,,,,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,0,0,14,0,0,1,0,.2474665,5.991471,8.987197,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,1,0,0,0,1,0,0,.0749299,2.312438,7.600903,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,0,0,0,0,0,1,0,.2474665,3.689504,0,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,1,1,6,0,0,1,0,.2474665,3.259573,0,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,0,0,14,0,0,1,0,2.644121,.8813736,6.907756,0,4.143135,0,1,0,0,0,0,,,,,,1,0,,,,,,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,1,1,0,0,0,1,0,5.991471,.8813736,8.630522,0,4.143135,0,1,0,0,0,0,,,,,,1,0,,,,,,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,0,0,14,0,0,0,1,.4812118,2.312438,4.382183,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,0,0,14,0,0,0,1,.2474665,6.214612,8.294049,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,0,1,3,0,0,1,0,2.998223,1.443635,0,0,4.143135,0,1,0,0,0,0,,,,,,1,0,,,,,,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,0,0,0,0,1,0,0,5.991471,.8813736,4.382183,0,4.143135,0,1,0,0,0,0,,,,,,1,0,,,,,,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,0,0,8,0,1,0,0,.1246767,1.647231,7.600903,,4.143135,0,1,0,0,0,0,0,,,,,0,0,,,,,,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,0,0,1,1,12,0,0,0,1,2.312438,1.443635,5.991471,0,4.143135,0,1,0,0,1,0,,1,1,,,1,0,,,,,,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,1,1,0,0,0,1,0,0,1.647231,5.298342,,4.143135,0,1,0,0,1,0,0,1,0,0,,0,0,,0,0,0,0,3.73767,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,.3333333,.0555556,.1666667,.0555556,7.555555,4.333333,.0555556,-.2443938,3.388889,.9444444,6.611111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.21053,1,56.16667,53.21053,0,0,1,0,,,1,1,5,0,0,0,1,.2474665,2.49178,6.907756,,4.143135,0,1,0,0,1,0,0,1,0,0,,0,0,,0,0,0,0,3.73767,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,1,0,0,0,1,1,8,0,0,0,1,2.094712,.8813736,6.684613,0,4.477337,0,1,0,0,0,0,,,,,,1,0,,,,,,4.394449,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,1,0,,,1,1,8,0,0,1,0,.2474665,.8813736,6.907756,,4.477337,0,0,1,0,1,0,0,0,0,0,,0,0,,0,0,0,0,4.394449,1.952381,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,1,0,,,1,1,14,0,0,0,1,.4812118,6.907756,7.244228,,4.477337,0,0,1,0,0,0,0,,,,,0,0,,,,,,4.394449,1.952381,,,,
1,,0,1,0,0,0,0,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,1,0,,,0,0,14,0,0,0,1,.2474665,.8813736,6.907756,,4.477337,0,0,1,0,0,0,0,,,,,0,0,,,,,,4.394449,1.952381,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,1,0,,,0,0,6,0,0,1,0,.4812118,5.480656,0,,4.477337,0,0,1,0,0,0,0,,,,,0,0,,,,,,4.394449,1.952381,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.991471,0,4.477337,0,1,0,0,0,0,,,,,,1,0,,,,,,4.394449,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,1,0,0,0,0,0,0,0,0,1,0,4.60527,2.094712,5.991471,0,4.477337,0,1,0,0,0,0,,,,,,1,0,,,,,,4.394449,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,1,0,,,0,0,10,0,0,0,1,0,1.443635,8.853665,,4.477337,0,0,1,0,1,0,1,1,0,1,,0,0,,0,1,0,0,4.394449,1.952381,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,1,0,0,0,0,0,14,0,0,1,0,5.298342,.8813736,9.546813,0,4.477337,0,1,0,0,0,0,,,,,,1,0,,,,,,4.394449,1,,,,
,,0,,,,,,1,0,0,0,0,0,0,0,,0,0,1,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,1,0,0,0,0,0,7,0,0,0,1,0,0,7.600903,0,4.477337,0,1,0,0,1,0,,1,0,,,1,0,0,,,,,4.394449,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,1,0,,,0,0,14,0,0,0,1,.6931472,6.214612,0,,4.477337,0,0,1,0,0,0,0,,,,,0,0,,,,,,4.394449,1.952381,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,1,0,0,0,0,0,0,0,0,1,0,3.58429,.8813736,5.991471,0,4.477337,0,1,0,0,0,0,,,,,,1,0,,,,,,4.394449,1,,,,
,,0,,,,,,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,1,0,0,0,0,0,0,0,1,0,0,5.298342,2.094712,4.60527,0,4.477337,0,1,0,0,0,0,,,,,,1,0,,,,,,4.394449,1,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,1,0,,,0,0,7,0,0,0,1,.2474665,4.025671,8.699514,,4.477337,0,0,1,0,0,0,0,,,,,0,0,,,,,,4.394449,1.952381,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,0,1,,,1,1,0,0,0,0,1,1.818447,.8813736,5.991471,,4.477337,0,0,1,0,0,0,0,,,,,0,0,,,,,,4.394449,1.952381,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,1,0,,,0,0,6,0,0,1,0,.2474665,1.647231,6.907756,,4.477337,0,0,1,0,1,0,0,1,0,0,,0,0,,0,0,0,0,4.394449,1.952381,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,0,0,,,1,1,8,0,0,0,1,.2474665,1.443635,6.396933,,4.477337,0,0,1,0,1,0,0,1,0,0,,0,0,,0,0,0,0,4.394449,1.952381,,,,
1,,0,0,0,0,0,0,0,0,,0,,0,,0,,,0,,0,.05,0,0,6.3,4.3,0,-.4164363,3.9,.85,.95,1.952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,1,27.15,27.15,0,0,1,0,,,1,0,8,0,0,0,1,.2474665,5.298342,6.214612,,4.477337,0,0,1,0,0,0,0,,,,,0,0,,,,,,4.394449,1.952381,,,,
